system:index,EVI,LC_Type1,NDVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,year,.geo
0_313,5622.826086956522,2,7797.130434782609,556.7826086956521,3840.8695652173915,438.30434782608694,717.4782608695652,2001,"{""type"":""Point"",""coordinates"":[116.68670700015383,3.562560742234444]}"
0_317,5389.826086956522,2,7764.347826086957,519.0434782608696,3672.608695652174,408.9130434782609,726.7826086956521,2001,"{""type"":""Point"",""coordinates"":[111.67351925916284,1.4398803296207499]}"
0_321,4419.304347826087,2,6914.130434782609,741.9130434782609,3229.3478260869565,539.3478260869565,712.8260869565217,2001,"{""type"":""Point"",""coordinates"":[113.00800293984601,1.5536576986287995]}"
0_327,3690.0434782608695,10,5268.130434782609,1152.0,3412.2608695652175,935.3913043478261,1178.4347826086957,2001,"{""type"":""Point"",""coordinates"":[101.41091684814144,4.507934852369848]}"
0_331,4812.434782608696,2,7349.391304347826,514.8260869565217,3150.521739130435,495.2173913043478,616.5652173913044,2001,"{""type"":""Point"",""coordinates"":[117.05328283719156,2.394539748997487]}"
0_336,4123.347826086957,2,6397.478260869565,849.0434782608696,3146.695652173913,749.4347826086956,853.4782608695652,2001,"{""type"":""Point"",""coordinates"":[102.88843066186615,4.183693608057252]}"
0_339,4392.652173913043,2,6862.782608695652,770.2173913043479,3353.086956521739,585.8695652173913,673.695652173913,2001,"{""type"":""Point"",""coordinates"":[100.95615768725816,2.0317279005439057]}"
0_344,5092.347826086957,14,7093.478260869565,674.9565217391304,3752.782608695652,608.304347826087,861.6521739130435,2001,"{""type"":""Point"",""coordinates"":[102.02854894187875,0.9762105804927471]}"
0_346,4391.739130434783,10,6313.739130434783,798.0434782608696,3424.608695652174,555.7391304347826,780.3478260869565,2001,"{""type"":""Point"",""coordinates"":[111.19703059365658,1.292714134393206]}"
0_348,1216.8125,11,2857.625,805.75,1447.0,838.25,401.5,2001,"{""type"":""Point"",""coordinates"":[100.22181758890244,5.463663014734722]}"
0_350,4074.3478260869565,8,6394.652173913043,809.7391304347826,3126.521739130435,559.4347826086956,646.8695652173913,2001,"{""type"":""Point"",""coordinates"":[103.38587325115739,2.8637359147420907]}"
0_352,3962.217391304348,2,6702.565217391304,803.304347826087,2925.8695652173915,750.4347826086956,779.1739130434783,2001,"{""type"":""Point"",""coordinates"":[102.91310695054854,4.208587357825652]}"
0_353,4585.0,11,7323.0,499.1304347826087,3010.478260869565,429.2173913043478,416.5652173913044,2001,"{""type"":""Point"",""coordinates"":[117.37723835577486,6.5392300272956865]}"
0_358,4337.434782608696,2,6997.304347826087,678.7826086956521,3165.913043478261,611.5652173913044,631.9565217391304,2001,"{""type"":""Point"",""coordinates"":[112.9320444081099,1.1935954851807966]}"
0_367,4471.95652173913,2,7529.565217391304,444.7826086956522,2825.5652173913045,461.8695652173913,581.6521739130435,2001,"{""type"":""Point"",""coordinates"":[116.97348441959734,5.103974432150237]}"
0_371,4612.478260869565,2,7257.130434782609,513.5217391304348,3021.521739130435,457.95652173913044,609.0434782608696,2001,"{""type"":""Point"",""coordinates"":[112.49861038885142,1.7963984113984908]}"
0_375,4881.391304347826,2,6911.260869565217,877.7826086956521,3814.8695652173915,855.304347826087,863.6521739130435,2001,"{""type"":""Point"",""coordinates"":[117.70050420696003,1.1184397902307577]}"
0_383,48.266666666666666,17,182.21428571428572,901.4,935.1333333333333,792.6666666666666,448.14285714285717,2001,"{""type"":""Point"",""coordinates"":[101.51903702457761,1.654216351150798]}"
0_390,4389.363636363636,11,6576.727272727273,662.9090909090909,3130.0,558.8181818181819,673.3636363636364,2001,"{""type"":""Point"",""coordinates"":[111.61636154658217,2.8048288880192964]}"
0_394,4293.347826086957,2,6791.478260869565,691.7826086956521,3103.8695652173915,683.7826086956521,781.8260869565217,2001,"{""type"":""Point"",""coordinates"":[113.13163139323436,1.7960895133583368]}"
0_395,5539.130434782609,2,7995.695652173913,481.30434782608694,3729.9565217391305,393.5652173913044,569.0869565217391,2001,"{""type"":""Point"",""coordinates"":[100.63478199488655,1.7710873289521358]}"
0_398,4595.217391304348,2,7504.478260869565,499.04347826086956,3068.9565217391305,392.39130434782606,642.695652173913,2001,"{""type"":""Point"",""coordinates"":[101.77358637985755,4.386786636617315]}"
0_399,4179.173913043478,2,7779.695652173913,359.95652173913044,2596.391304347826,241.04347826086956,361.04347826086956,2001,"{""type"":""Point"",""coordinates"":[114.4068410387122,3.9657049931422117]}"
0_400,5088.608695652174,8,7197.913043478261,691.3913043478261,3684.608695652174,460.8695652173913,945.9130434782609,2001,"{""type"":""Point"",""coordinates"":[101.65178921513413,6.528680033988797]}"
0_401,3312.7391304347825,2,6568.304347826087,582.6086956521739,2297.304347826087,632.3478260869565,549.0869565217391,2001,"{""type"":""Point"",""coordinates"":[108.08122798713832,3.931426434814908]}"
0_404,4393.95652173913,2,7146.826086956522,562.4782608695652,2990.304347826087,513.1304347826087,567.6086956521739,2001,"{""type"":""Point"",""coordinates"":[115.9612196363194,3.8924288343821063]}"
0_405,5366.347826086957,2,7652.04347826087,501.7826086956522,3601.391304347826,467.95652173913044,620.0869565217391,2001,"{""type"":""Point"",""coordinates"":[109.17865492665882,1.4694887360345157]}"
0_410,5669.739130434783,2,7905.478260869565,505.4782608695652,3861.217391304348,384.82608695652175,634.9565217391304,2001,"{""type"":""Point"",""coordinates"":[100.56677388778279,1.6436139776857555]}"
0_411,4420.173913043478,2,6165.695652173913,957.0434782608696,3615.782608695652,864.1304347826087,821.0434782608696,2001,"{""type"":""Point"",""coordinates"":[111.57952652740485,0.9640162691353501]}"
0_414,4586.304347826087,2,7077.695652173913,621.5652173913044,3190.4347826086955,437.2173913043478,644.1739130434783,2001,"{""type"":""Point"",""coordinates"":[100.51202585772283,1.0393382755986782]}"
0_418,3951.3478260869565,2,6222.086956521739,806.3478260869565,3016.521739130435,831.9130434782609,848.0434782608696,2001,"{""type"":""Point"",""coordinates"":[117.77551172851993,1.6537560855030793]}"
0_422,5103.304347826087,2,8189.782608695652,322.7391304347826,3128.782608695652,240.3913043478261,519.5652173913044,2001,"{""type"":""Point"",""coordinates"":[116.79192916781525,1.8885358588521755]}"
0_424,5125.260869565217,2,7373.782608695652,612.3913043478261,3423.5652173913045,539.4782608695652,617.7826086956521,2001,"{""type"":""Point"",""coordinates"":[112.47651542402144,1.7027039154046415]}"
0_426,4214.95652173913,2,7044.95652173913,524.7826086956521,2868.2608695652175,354.5652173913044,549.6086956521739,2001,"{""type"":""Point"",""coordinates"":[113.76536639288436,1.7672890860377632]}"
0_429,4339.95652173913,2,6798.565217391304,706.6521739130435,3126.9565217391305,591.695652173913,629.1304347826087,2001,"{""type"":""Point"",""coordinates"":[115.55728863061637,3.302615954804244]}"
0_431,5387.130434782609,2,7774.826086956522,442.17391304347825,3397.217391304348,420.8695652173913,559.1739130434783,2001,"{""type"":""Point"",""coordinates"":[112.41553037744744,1.669712575928481]}"
0_432,3939.6521739130435,2,6416.086956521739,978.3478260869565,3216.695652173913,912.4782608695652,784.7826086956521,2001,"{""type"":""Point"",""coordinates"":[118.64456042290814,1.0470112169402472]}"
0_433,4810.391304347826,2,7750.565217391304,433.5652173913044,3141.5652173913045,336.17391304347825,580.695652173913,2001,"{""type"":""Point"",""coordinates"":[100.0054614124299,1.3127911338594629]}"
0_435,3861.1739130434785,2,6754.478260869565,590.2608695652174,2747.782608695652,514.3478260869565,589.5217391304348,2001,"{""type"":""Point"",""coordinates"":[115.80961758587198,1.3592826085056147]}"
0_442,5200.391304347826,8,7154.565217391304,759.9565217391304,3830.086956521739,681.7826086956521,871.7391304347826,2001,"{""type"":""Point"",""coordinates"":[118.12280052117165,5.2868046627893985]}"
0_444,4749.608695652174,2,8075.04347826087,309.4782608695652,2851.608695652174,248.8695652173913,465.7826086956522,2001,"{""type"":""Point"",""coordinates"":[115.25071995677143,4.195256229280263]}"
